Thread ID: 131290
Total: 0.030705

 %self     total     self     wait    child    calls  name
  0.07      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#session
  0.07      0.00     0.00     0.00     0.00        2  ActionView::PathSet::Path#to_str
  0.07      0.00     0.00     0.00     0.00        5  Hash#has_key?
  0.07      0.00     0.00     0.00     0.00        2  String#gsub!
  0.07      0.01     0.00     0.00     0.01        2  <Class::ActionView::TemplateHandler>#call
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_source
  0.07      0.00     0.00     0.00     0.00        6  String#to_sym
  0.07      0.00     0.00     0.00     0.00        6  Hash#initialize_copy
  0.06      0.00     0.00     0.00     0.00        1  ActionController::StatusCodes#interpret_status-1
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.06      0.00     0.00     0.00     0.00        2  ActionController::AbstractRequest#query_parameters
  0.06      0.01     0.00     0.00     0.01        2  ActionView::Renderable#_unmemoized_compiled_source
  0.06      0.00     0.00     0.00     0.00        4  <Class::File>#expand_path
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#prepare!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#path
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#remote_ip
  0.06      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement#set_session_options_without_components
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.06      0.00     0.00     0.00     0.00        6  Object#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.06      0.00     0.00     0.00     0.00        1  ActionController::CGIWrapper#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#request_uri
  0.06      0.00     0.00     0.00     0.00        1  #<Class:0x1b31db0>#first
  0.06      0.00     0.00     0.00     0.00        4  ActionController::Base#params
  0.06      0.00     0.00     0.00     0.00        4  Enumerable#any?
  0.06      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#update
  0.06      0.00     0.00     0.00     0.00        2  Class#read_inheritable_attribute
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.06      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.06      0.00     0.00     0.00     0.00        2  ActiveSupport::BufferedLogger#info
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#set_content_length!
  0.06      0.00     0.00     0.00     0.00        6  Array#push
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_path_without_format_and_extension
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#query_string
  0.06      0.00     0.00     0.00     0.00        2  ERB::Compiler::Scanner#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#send_response
  0.06      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.06      0.00     0.00     0.00     0.00        2  CGI::Cookie#respond_to?
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#initialize
  0.06      0.00     0.00     0.00     0.00        1  Kernel#instance_eval
  0.06      0.00     0.00     0.00     0.00        2  Hash#fetch
  0.06      0.00     0.00     0.00     0.00        1  ActionController::CgiExt::Stdinput#initialize
  0.06      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#query_string
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Renderable#_unmemoized_handler
  0.06      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#template_format
  0.05      0.00     0.00     0.00     0.00        6  Exception#backtrace
  0.05      0.00     0.00     0.00     0.00        2  #<Class:0x1b31db0>#respond_to?
  0.05      0.00     0.00     0.00     0.00        5  Hash#keys
  0.05      0.00     0.00     0.00     0.00        2  OpenSSL::Digest#initialize
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Rescue#clean_backtrace
  0.05      0.00     0.00     0.00     0.00        2  ActionView::Template#render_template
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#handle_conditional_get!
  0.05      0.00     0.00     0.00     0.00        1  Time#strftime
  0.05      0.00     0.00     0.00     0.00        6  Kernel#Array
  0.05      0.00     0.00     0.00     0.00        2  Array#eql?
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#body
  0.05      0.00     0.00     0.00     0.00        1  <Module::Marshal>#load
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#default_charset
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Rescue#response_code_for_rescue
  0.05      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#nonempty_ok_response?
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_request_method
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Rescue#template_path_for_local_rescue
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#charset=
  0.05      0.00     0.00     0.00     0.00        2  ERB::Compiler#make_scanner
  0.05      0.02     0.00     0.00     0.02        1  ActionController::SessionManagement#process_without_test
  0.05      0.00     0.00     0.00     0.00        4  <Class::File>#dirname
  0.05      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.05      0.00     0.00     0.00     0.00        2  ActionView::PathSet::Path#to_s
  0.05      0.02     0.00     0.00     0.02        1  ActionController::Rescue::ClassMethods#process_with_exception
  0.05      0.00     0.00     0.00     0.00        3  Kernel#=~
  0.05      0.02     0.00     0.00     0.02        1  ActionController::Base#process
  0.05      0.00     0.00     0.00     0.00        4  NilClass#to_s
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.05      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_request_uri
  0.05      0.00     0.00     0.00     0.00        5  Array#first
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_session_id
  0.05      0.00     0.00     0.00     0.00        1  Module#append_features
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#view_paths
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.04      0.00     0.00     0.00     0.00        3  Array#pack
  0.04      0.00     0.00     0.00     0.00        2  <Class::ActionView::Base>#warn_cache_misses
  0.04      0.00     0.00     0.00     0.00        2  Array#sort
  0.04      0.00     0.00     0.00     0.00        2  Comparable#>=
  0.04      0.00     0.00     0.00     0.00        3  Hash#==
  0.04      0.00     0.00     0.00     0.00        2  OpenSSL::Digest::Digest#initialize
  0.04      0.00     0.00     0.00     0.00        4  String#tr
  0.04      0.00     0.00     0.00     0.00        1  CGI::Session#close
  0.04      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#read_cookie
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.04      0.00     0.00     0.00     0.00        5  String#downcase
  0.04      0.00     0.00     0.00     0.00        1  ERB::Util#h
  0.04      0.02     0.00     0.00     0.02        1  ActionController::Filters::InstanceMethods#process_without_session_management_support
  0.04      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement#process_cleanup_without_components
  0.04      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_query_string
  0.04      0.00     0.00     0.00     0.00        1  Hash#each_value
  0.04      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch
  0.04      0.00     0.00     0.00     0.00        1  Array#reverse_each
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_handlers
  0.04      0.00     0.00     0.00     0.00        1  ActionController::RoutingError#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionView::PathSet#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#parse_formatted_request_parameters
  0.04      0.00     0.00     0.00     0.00        2  ActionView::Template#_unmemoized_mime_type
  0.04      0.00     0.00     0.00     0.00        4  Kernel#frozen?
  0.04      0.00     0.00     0.00     0.00        1  CGI::Session#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#encode_cookies
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#rescue_with_handler
  0.04      0.00     0.00     0.00     0.00        3  <Class::String>#allocate
  0.04      0.00     0.00     0.00     0.00        3  ActionController::CGIWrapper#env_table
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Integration::Runner#copy_session_variables!
  0.04      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#sending_file?
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_names
  0.04      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#xhr?
